"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16281","Successful login with valid credentials","","Tue Nov 19 15:49:27 IST 2024","passed","Tue Nov 19 15:49:43 IST 2024","","Login functionality","Successful login with valid credentials",""
"","6189","Unsuccessful login with blank credentials","","Tue Nov 19 15:50:01 IST 2024","passed","Tue Nov 19 15:50:07 IST 2024","","Login functionality","Unsuccessful login with blank credentials",""
"","39244","Create a new lead","","Thu Dec 26 17:10:20 IST 2024","broken","Thu Dec 26 17:11:00 IST 2024","","","",""
"","29749","Creating a new lead","","Tue Nov 19 15:21:57 IST 2024","passed","Tue Nov 19 15:22:26 IST 2024","","Lead Functionality","Creating a new lead",""
"","7920","Login with valid credentials","","Thu Dec 26 17:11:05 IST 2024","passed","Thu Dec 26 17:11:13 IST 2024","","","",""
"","1","setup","Example Test Suite","Wed Nov 20 14:38:52 IST 2024","broken","Wed Nov 20 14:38:52 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","setup"
"This test verifies that a user cannot login after entering null data.","456","testNoCredentialLogin","Example Test Suite","Wed Nov 20 17:00:11 IST 2024","broken","Wed Nov 20 17:00:11 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","testNoCredentialLogin"
"","33088","Login with invalid credentials","","Mon Dec 23 16:14:20 IST 2024","failed","Mon Dec 23 16:14:53 IST 2024","","","",""
"","31752","Login with invalid credentials","","Mon Dec 23 13:53:35 IST 2024","broken","Mon Dec 23 13:54:07 IST 2024","","","",""
"This test verifies that a new lead can be created and verified.","916","testCreateNewLead","Example Test Suite","Wed Nov 20 17:00:10 IST 2024","broken","Wed Nov 20 17:00:11 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","testCreateNewLead"
"This test verifies that a user cannot log in with invalid credentials.","1384","testInvalidLogin","Example Test Suite","Wed Nov 20 17:00:10 IST 2024","passed","Wed Nov 20 17:00:11 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","testInvalidLogin"
"","3586","Login with blank credentials","","Thu Dec 26 17:11:22 IST 2024","passed","Thu Dec 26 17:11:26 IST 2024","","","",""
"","2388","Login with blank credentials","","Mon Dec 23 16:14:58 IST 2024","passed","Mon Dec 23 16:15:01 IST 2024","","","",""
"","1","tearDown","Example Test Suite","Wed Nov 20 14:22:04 IST 2024","broken","Wed Nov 20 14:22:04 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","tearDown"
"","23009","Create a new lead","","Mon Dec 23 16:13:39 IST 2024","failed","Mon Dec 23 16:14:02 IST 2024","","","",""
"","7786","Login with valid credentials","","Mon Dec 23 13:53:22 IST 2024","passed","Mon Dec 23 13:53:30 IST 2024","","","",""
"","31762","Login with no credentials","","Mon Dec 23 13:54:12 IST 2024","broken","Mon Dec 23 13:54:44 IST 2024","","","",""
"","7143","Unsuccessful login with invalid credentials","","Tue Nov 19 15:49:48 IST 2024","passed","Tue Nov 19 15:49:56 IST 2024","","Login functionality","Unsuccessful login with invalid credentials",""
"","8026","Login with valid credentials","","Mon Dec 23 16:14:07 IST 2024","passed","Mon Dec 23 16:14:15 IST 2024","","","",""
"","4620","Login with invalid credentials","","Thu Dec 26 17:11:18 IST 2024","passed","Thu Dec 26 17:11:22 IST 2024","","","",""
"","21791","Create a new lead","","Mon Dec 23 13:52:56 IST 2024","broken","Mon Dec 23 13:53:17 IST 2024","","","",""
"This test verifies that a user can log in with valid credentials.","5690","testValidLogin","Example Test Suite","Wed Nov 20 17:00:10 IST 2024","broken","Wed Nov 20 17:00:16 IST 2024","org.example.AppTest","AppTest Execution","org.example.AppTest","testValidLogin"
